Last Name,First Name,Position,G,A,HT,Salary,Points,PPM,Injured?,,,refNum
Hudler,Jiri,RW/LW,3,8,0," $2,000,000.00 ",14,7,No,No,,210
Garbutt,Ryan,C/LW,2,1,0," $2,000,000.00 ",5,2.5,No,No,,211
Namestnikov,Vladislav,C/LW,10,18,0," $1,900,000.00 ",38,20,No,No,,212
Mitchell,John,C,3,4,0," $1,900,000.00 ",10,5.26315789473684,No,No,,213
Karlsson,Melker,C/RW,11,11,0," $1,850,000.00 ",33,17.8378378378378,No,Yes,,214
Hendricks,Matt,LW/C,4,3,0," $1,850,000.00 ",11,5.94594594594595,No,No,,215
Letestu,Mark,C/RW,16,19,0," $1,800,000.00 ",51,28.3333333333333,Yes,No,,216
Winnik,Daniel,LW/C,12,13,0," $1,800,000.00 ",37,20.5555555555556,No,No,,217
Beagle,Jay,C/RW,13,17,0," $1,750,000.00 ",43,24.5714285714286,No,No,,218
Vermette,Antoine,C/LW,9,19,0," $1,750,000.00 ",37,21.1428571428571,No,No,,219
Wilson,Tom,RW,7,12,0," $1,750,000.00 ",26,14.8571428571429,No,No,,220
Baertschi,Sven,LW,18,17,0," $1,700,000.00 ",53,31.1764705882353,No,No,,221
Jarnkrok,Calle,C,15,16,0," $1,700,000.00 ",46,27.0588235294118,No,No,,222
Thompson,Nate,C,1,1,0," $1,700,000.00 ",3,1.76470588235294,No,No,,223
Grabner,Michael,RW,27,13,1," $1,650,000.00 ",68,41.2121212121212,No,No,,224
Burmistrov,Alex,C/RW,5,11,0," $1,600,000.00 ",21,13.125,No,No,,225
Purcell,Teddy,LW/RW,0,2,0," $1,600,000.00 ",2,1.25,No,No,,226
Pearson,Tanner,LW,24,20,0," $1,550,000.00 ",68,43.8709677419355,No,No,,227
Kassian,Zack,RW,7,17,0," $1,500,000.00 ",31,20.6666666666667,No,No,,228
Stalberg,Viktor,LW/RW,11,5,0," $1,500,000.00 ",27,18,No,No,,229
Neil,Chris,RW,1,3,0," $1,500,000.00 ",5,3.33333333333333,No,No,,230
Byron,Paul,LW/C/RW,22,21,0," $1,300,000.00 ",65,50,No,No,,231
Grigorenko,Mikhail,C,10,13,0," $1,300,000.00 ",33,25.3846153846154,No,No,,232
Mitchell,Torrey,C/RW,8,9,0," $1,300,000.00 ",25,19.2307692307692,No,No,,233
MacKenzie,Derek,C/LW,6,10,0," $1,300,000.00 ",22,16.9230769230769,Yes,No,,234
Holland,Peter,C,5,7,0," $1,300,000.00 ",17,13.0769230769231,No,No,,235
Parenteau,PA,RW,13,15,0," $1,250,000.00 ",41,32.8,No,No,,236
Nordstrom,Joakim,LW/C,7,5,0," $1,250,000.00 ",19,15.2,No,No,,237
Clifford,Kyle,LW/C,6,6,0," $1,250,000.00 ",18,14.4,No,No,,238
Smith-Pelly,Devante,RW/C/LW,4,5,0," $1,250,000.00 ",13,10.4,No,No,,239
McLeod,Cody,LW/RW,5,1,0," $1,250,000.00 ",11,8.8,No,No,,240
Brown,J.T.,RW,3,3,0," $1,250,000.00 ",9,7.2,No,No,,241
Fiddler,Vernon,C/LW,2,2,0," $1,250,000.00 ",6,4.8,No,No,,242
Condra,Erik,RW,0,0,0," $1,250,000.00 ",0,0,No,No,,243
Stewart,Chris,RW/LW,13,8,0," $1,200,000.00 ",34,28.3333333333333,No,No,,244
Thorburn,Chris,RW/LW,3,1,0," $1,200,000.00 ",7,5.83333333333333,No,No,,245
Girgensons,Zemgus,C/LW,7,9,0," $1,150,000.00 ",23,20,No,No,,246
Reaves,Ryan,RW,7,6,0," $1,125,000.00 ",20,17.7777777777778,No,No,,247
Spooner,Ryan,C/LW,12,28,0," $1,100,000.00 ",52,47.2727272727273,No,No,,248
Pageau,Jean-Gabriel,C,12,21,1," $1,100,000.00 ",46,41.8181818181818,No,No,,249
Pirri,Brandon,RW/LW/C,8,10,0," $1,100,000.00 ",26,23.6363636363636,No,No,,250
McClement,Jay,C,5,3,0," $1,100,000.00 ",13,11.8181818181818,No,No,,251
Josefson,Jacob,C/LW,1,9,0," $1,100,000.00 ",11,10,No,No,,252
Haula,Erik,C/LW,15,11,0," $1,050,000.00 ",41,39.047619047619,No,No,,253
Lander,Anton,C/LW/RW,1,3,0," $1,050,000.00 ",5,4.76190476190476,No,No,,254
Miller,Drew,LW/RW,5,2,0," $1,025,000.00 ",12,11.7073170731707,No,No,,255
Eaves,Patrick,RW/LW,32,19,0," $1,000,000.00 ",83,83,No,No,,256
Vrbata,Radim,RW,20,35,0," $1,000,000.00 ",75,75,No,No,,257
Cullen,Matt,C/LW,13,18,0," $1,000,000.00 ",44,44,No,No,,258
Lowry,Adam,C/LW,15,14,0," $1,000,000.00 ",44,44,Yes,No,,259
Karlsson,William,C,6,19,0," $1,000,000.00 ",31,31,Yes,Yes,,260
Korpikoski,Lauri,LW/RW,8,12,0," $1,000,000.00 ",28,28,No,No,,261
Fast,Jesper,RW/LW,6,15,0," $1,000,000.00 ",27,27,No,Yes,,262
White,Ryan,C,9,7,0," $1,000,000.00 ",25,25,No,Yes,,263
Brodziak,Kyle,C,8,7,0," $1,000,000.00 ",23,23,No,No,,264
Jaskin,Dmitrij,RW/LW,1,10,0," $1,000,000.00 ",12,12,No,No,,265
Nolan,Jordan,C/LW/RW,4,4,0," $1,000,000.00 ",12,12,No,No,,266
Glass,Tanner,LW,1,1,0," $1,000,000.00 ",3,3,No,No,,267
Versteeg,Kris,RW/LW,15,22,0," $950,000.00 ",52,54.7368421052632,No,No,,268
Sceviour,Colton,C/RW,9,15,1," $950,000.00 ",34,35.7894736842105,No,No,,269
Larsson,Johan,C/LW,6,5,0," $950,000.00 ",17,17.8947368421053,No,No,,270
Flynn,Brian,C/RW,6,4,0," $950,000.00 ",16,16.8421052631579,No,No,,271
Nestrasil,Andrej,C/RW/LW,1,4,0," $950,000.00 ",6,6.31578947368421,No,No,,272
Gordon,Boyd,C/RW,1,0,0," $950,000.00 ",2,2.10526315789474,No,No,,273
Jurco,Tomas,LW/RW,1,0,0," $950,000.00 ",2,2.10526315789474,Yes,No,,274
Rodin,Anton,RW,0,1,0," $950,000.00 ",1,1.05263157894737,No,No,,275
McDavid,Connor,C,30,70,1," $925,000.00 ",131,141.621621621622,No,No,,276
Matthews,Auston,C,40,29,1," $925,000.00 ",110,118.918918918919,No,No,,277
Draisaitl,Leon,C,29,48,1," $925,000.00 ",107,115.675675675676,No,No,,278
Panarin,Artemi,LW/C,31,43,0," $925,000.00 ",105,113.513513513514,No,No,,279
Pastrnak,David,RW/LW,34,36,0," $925,000.00 ",104,112.432432432432,No,No,,280
Laine,Patrik,RW,36,28,1," $925,000.00 ",101,109.189189189189,No,No,,281
Ehlers,Nikolaj,LW,25,39,0," $925,000.00 ",89,96.2162162162162,No,No,,282
Nylander,William,C/RW,22,39,1," $925,000.00 ",84,90.8108108108108,No,Yes,,283
Eichel,Jack,C,24,33,0," $925,000.00 ",81,87.5675675675676,No,No,,284
Marner,Mitchell,C/RW,19,42,0," $925,000.00 ",80,86.4864864864865,No,No,,285
Aho,Sebastian,RW/LW,24,25,1," $925,000.00 ",74,80,No,No,,286
Wennberg,Alex,C,13,46,0," $925,000.00 ",72,77.8378378378378,No,No,,287
Reinhart,Sam,C,17,30,0," $925,000.00 ",64,69.1891891891892,No,No,,288
